"","rulename","ruledesign"
"1435","FOR - Prescribed Burning","limitation"
"1436","URB - Commercial Brick Buildings w/Concrete Slab (TX)","limitation"
"1437","URB - Commercial Brick Bldg; w/Reinforced Concrete Slab (TX)","limitation"
"1438","FOR - Total Tree Harvesting","limitation"
"1439","URB - Commercial Metal Bldg; w/Reinforced Concrete Slab (TX)","limitation"
"1440","URB - Commercial Metal Bldg; w/Concrete Slab (TX)","limitation"
"1441","URB - Commercial Metal Buildings w/o Concrete Slab (TX)","limitation"
"1442","FOR - Chemical Site Preparation","limitation"
"1443","Prime Farmland - Montana","limitation"
"1444","BLM - Chaining Suitability (test)","suitability"
"1445","AGR - Environmental Risk","limitation"
"1446","URB - Lawns and Ornamental Plantings (TX)","limitation"
"1447","FOR - Log Landing Suitability (ME)","limitation"
"1448","FOR - Soil Rutting Hazard (ME)","limitation"
"1449","FOR-Construction Limitations for Haul Roads/Log Landings(ME)","limitation"
"1450","FOR - Mechanical Site Preparation; Surface (ME)","limitation"
"1451","FOR - Road Suitability (Natural Surface) (ME)","limitation"
"1452","FOR - Potential Seedling Mortality(ME)","limitation"
"1453","FOR - Mechanical Planting Suitability (ME)","limitation"
"1454","FOR - Harvest Equipment Operability (ME)","limitation"
"1455","FOR - Hand Planting Suitability (ME)","limitation"
"1456","URB - Rural Residential Development on Concrete Slab (TX)","limitation"
"1457","URB - Rural Residential Development w/Basement (TX)","limitation"
"1458","URB - Concrete Driveways and Sidewalks2 (TX)","limitation"
"1459","URB - Dwellings on Concrete Slab2 (TX)","limitation"
"1460","URB - Dwellings With Basements2 (TX)","limitation"
"1461","URB - Lawns and Ornamental Plantings2 (TX)","limitation"
"1462","ENG - Septic Tank Absorption Fields2 (TX)","limitation"
"1463","URB - Urban Residential Development on Concrete Slab (TX)","limitation"
"1464","URB - Urban Residential Development w/Basement (TX)","limitation"
"1465","CT - Bone Preservation in Soilx","suitability"
"1466","01CTsm - Bone Preservation in Soil","suitability"
"1467","ENG - Septic Tank, Gravity Disposal (TX)","limitation"
"1468","ENG - Septic System; Disinfection, Surface Application (TX)","limitation"
"1469","Deep Infiltration Systems","limitation"
"1470","Ground Penetrating Radar Penetration","limitation"
"1471","NPS - Potential Erosion Hazard","limitation"
"1472","ENG - Pier Beam Building Foundations (TX)","limitation"
"1473","AWM - Sensitive Soil Features (WI)","limitation"
"1474","MDE Potential Erodible Units (MD)","limitation"
"1475","Shallow Infiltration Systems","limitation"
"1476","AGR - Productivity Rating (MO)","suitability"
"1477","HYDS-HYDRIC SOILS LIST","limitation"
"1478","Unlined Retention Systems","limitation"
"1479","WMS - Sprinkler Irrigation RDC (IL)","limitation"
"1480","CPI - Wild Hay, NIRR - Eastern Idaho Plateaus (ID)","suitability"
"1481","CPI - Wheat, NIRR - Eastern Idaho Plateaus (ID)","suitability"
"1482","WLF - Chufa for Turkey Forage (LA)","suitability"
"1483","WMS - Grassed Waterways - (MI)","limitation"
"1484","WMS - Drainage - (MI)","limitation"
"1485","CPI - Barley, NIRR - Eastern Idaho Plateaus (ID)","suitability"
"1486","CPI - Alfalfa Hay, NIRR- Eastern Idaho Plateaus (ID)","suitability"
"1487","CPI - Wheat, IRR - Eastern Idaho Plateaus (ID)","suitability"
"1488","CPI - Barley, IRR - Eastern Idaho Plateaus (ID)","suitability"
"1489","CPI - Potatoes, IRR - Eastern Idaho Plateaus (ID)","suitability"
"1490","CPI - Alfalfa Hay, IRR - Eastern Idaho Plateaus (ID)","suitability"
"1491","CPI - Grass Hay, IRR - Eastern Idaho Plateaus (ID)","suitability"
"1492","CPI - Alfalfa Hay, IRR - Snake River Plains (ID)","suitability"
"1493","CPI - Potatoes, IRR - Snake River Plains (ID)","suitability"
"1494","CPI - Small Grains, IRR - Snake River Plains (ID)","suitability"
"1495","CPI - Small Grains, NIRR - Snake River Plains (ID)","suitability"
"1496","URB/REC - Paths and Trails test (NPS)","limitation"
"1497","WLF - Food Plots for Upland Wildlife < 2 Acres (TX)","limitation"
"1498","ENG - TCEQ Soil Group (TX)","limitation"
"1499","WAQ - Soil Pesticide Leaching Potential (TX)","class"
"1500","WAQ - Soil Pesticide Solution Runoff Potential (TX)","class"
"1501","WAQ - Soil Pesticide Absorbed Runoff Potential (TX)","class"
"1502","01CTsm - Bone Preservation in Soil - GET","suitability"
"1503","01CTsm - Bone Preservation in Soil - GET2","suitability"
"1504","LN CLASS RULE - Soil Organic Carbon (SOC) kg/m2 to 2m (NPS)","class"
"1505","Copy of CLASS RULE - Soil Organic Carbon (log) kg/m2 to 2m","class"
"1506","ODS - Lined Oil Sludge Landfill (Area)","limitation"
"1507","ODS - Lined Aerobic Digestion Lagoons","limitation"
"1508","ODS - Land Application of Oil Spill Sludge","limitation"
"1509","AGR - Revised Environmental Risk","limitation"
"1510","SAS - Mushroom Anchors","limitation"
"1511","SAS - Deadweight Anchors (RI)","limitation"
"1512","SAS - Hard Clam (Mercenaria mercenaria L.) Substrate","limitation"
"1513","CLASS RULE - Soil Organic Carbon kg/m2 to 2m (NPS)","class"
"1514","CLASS RULE - Soil Inorganic Carbon kg/m2 to 2m (NPS)","class"
"1515","FOR - BioMASS (MA) - DO NOT USE","limitation"
"1516","FOR - Biomass Harvest (MA)","limitation"
"1517","ENG - Septic Tank Absorption Fields - Trench (MN)","limitation"
"1518","ENG - Septage Application - Incorporation or Injection (MN)","limitation"
"1519","ENG - Septage Application - Surface (MN)","limitation"
"1520","ENG - Septic Tank Absorption Fields - At-Grade (MN)","limitation"
"1521","ENG - Septic Tank Absorption Fields - Mound (MN)","limitation"
"1522","ENG - Sewage Sludge Application - Surface (MN) lynn","limitation"
"1523","ENG - Sewage Sludge Application - Incorp or Inject (MN) lynn","limitation"
"1524","AWM - Large Animal Disposal, Pit (MN) lynn","limitation"
"1525","ENG - Septic Tank Absorption Fields - Trench (MN) archive","limitation"
"1526","ENG - Septic Tank Absorption Fields - At-Grade (MN) archive","limitation"
"1527","ENG - Septic Tank Absorption Fields - Mound (MN) archive","limitation"
"1528","Map Unit yield (MN)","class"
"1529","IA - CSR C_adjustment","suitability"
"1530","testSOC","class"
"1531","CPS - Fencing (382)","limitation"
"1532","Test Copy of ENG - Construction Materials; Sand Source","suitability"
"1533","2nd Test Copy of ENG - Construction Materials; Sand Source","suitability"
"1534","Compaction Risk (GT)","limitation"
"1535","PASS - Potential for Acid Sulphate Soils","limitation"
"1536","AGR - Grape non-irrigated (MO)","suitability"
"1537","ENG - Wastewater; Septic Tank, Absorption Fields (MS)","limitation"
"1538","ENG - Wastewater; Disinfection, Spray Application (MS)","limitation"
"1539","ENG - Wastewater; Subsurface Drip Irrigation (MS)","limitation"
"1540","ENG - Wastewater; Disinfection, Spray Application (MS-16)","limitation"
"1541","ENG - Wastewater; Septic Tank, Absorption Fields (MS-16)","limitation"
"1542","ENG - Wastewater; Subsurface Drip Irrigation (MS-16)","limitation"
"1543","ENG - Construction Materials; Gravel Source (IA)","suitability"
"1544","SAS - Submerged Aquatic Vegetation (Eelgrass) Restoration","limitation"
"1545","ENG - Test Disposal Field (NJ)","limitation"
"1546","Lined Retention Systems","limitation"
"1547","RADON - Radon Gas in Soils","limitation"
"1548","AGR - Orchard Groups (TX)","class"
"1549","ENG - Source of Caliche (TX) orig","limitation"
"1550","CPI - Small Grains, NIRR - Clallam County draft (WA)","suitability"
"1551","Prime Farmland - Montana (MO-1)","limitation"
"1552","WLF - Desert Tortoise 2 (CA)","limitation"
"1553","WLF - Desert Tortoise (CA)","limitation"
"1554","CPI - MLRA 9,43A,44A  Productivity Index - Grass Hay  v. 1","suitability"
"1555","ENG - OSHA Soil Types (TX)","class"
"1556","Nielsen  Equipment Operability","suitability"
"1557","ENG - Construction Materials; Gravel Source new (IA)","suitability"
"1558","MT 7-2 prime farmland","limitation"
"1559","NCCPI Kansas  small grains (KS)","limitation"
"1560","NCCPI - NCCPI Corn and Soybeans Submodel (II)","suitability"
"1561","Sand Content Rated, WTD_AVG 0 to 100cm","class"
"1562","Vineyard Suitability, Table Grapes","suitability"
"1563","AGR - Pesticide Loss Potential-Leaching","limitation"
"1564","AGR - Pesticide Loss Potential-Soil Surface Runoff","limitation"
"1565","AGR - Water Erosion Potential (MO6)","limitation"
"1566","AGR - Wind Erosion Potential (MO6)","limitation"
"1567","ENG - Conventional On-Site Septic Systems (TN)","limitation"
"1568","Gopher Tortoise Habitat Suitability - Obsolete","suitability"
"1569","NCCPI - National Commodity Crop Productivity Index (Ver 2.0)","suitability"
"1570","URB/REC - USFS-Off-Road Motorcycle and ATV-Trails Test (AR)","limitation"
"1571","ENG - Vermont Drainage Group (VT)","class"
"1572","Risk of yield reduction in wheat from CCE","limitation"
"1573","Crawdad habitat suitability","suitability"
"1574","WMS-Subsurface Water Management, Installation (ND)","limitation"
"1575","MIL -The  Bivouac Areas","limitation"
"1576","Excavations for Individual Fighting Position","limitation"
"1577","MIL - TRAFFICABILTY  Veh. Type 1 1-pass wet season","suitability"
"1578","MIL - TRAFFICABILTY VEH. Type 1 50-passes wet season","suitability"
"1579","MIL - Trafficability Vehicle Type 2 1-pass wet season","suitability"
"1580","MIL - Trafficability Vehicle Type 2 50-passes wet season","suitability"
"1581","MIL - Trafficability Vehicle Type 2 dry season","suitability"
"1582","MIL - Trafficability Vehicle Type 3 1-pass wet season","suitability"
"1583","MIL - Trafficability Vehicle Type 3 50-passes wet season","suitability"
"1584","MIL - Trafficability Vehicle; Type 3 dry season","suitability"
"1585","MIL - Trafficability Vehicle Type 4 1-pass wet season","suitability"
"1586","MIL - Trafficability Vehicle Type 4 50-passes wet season","suitability"
"1587","MIL - Trafficability Vehicle  Type 4 dry season","suitability"
"1588","CPI - Alfalfa Hay, NIRR - Palouse, Northern Rocky Mtns. (ID)","suitability"
"1589","CPI - Wild Hay, NIRR - Palouse, Northern Rocky Mtns. (ID)","suitability"
"1590","ENG - Dwellings without Basements (AK)","limitation"
"1591","AGR - Nitrate Leaching Potential, Nonirrigated (WA)","limitation"
"1592","AGR - Nitrate Leaching Potential, Irrigated (WA)","limitation"
"1593","ENG - Dwellings with Basements (AK)","limitation"
"1594","ENG - Local Roads and Streets (AK)","limitation"
"1595","ENG - Shallow Excavations (AK)","limitation"
"1596","ENG - Sanitary Landfill (Area) (AK)","limitation"
"1597","ENG - Sanitary Landfill (Trench) (AK)","limitation"
"1598","CPI - Grass Hay, NIRR - Palouse, Northern Rocky Mtns. (ID)","suitability"
"1599","CPI - Grass Hay, IRR - Klamath Valleys and Basins (OR)","suitability"
"1600","CPI - Alfalfa Hay, NIRR - Palouse, Northern Rocky Mtns. (WA)","suitability"
"1601","CPI - Grass Hay, NIRR - Palouse, Northern Rocky Mtns. (WA)","suitability"
"1602","CPI - Small Grains, NIRR - Palouse Prairies (OR)","suitability"
"1603","xpete AWM - Irrigation Disposal of Wastewater (IA)","limitation"
"1604","AGR - Water Erosion Potential Wide Ratings Array (TX)","limitation"
"1605","AGR - Wind Erosion Potential Wide Ratings Array (TX) orig","limitation"
"1606","WMS-Subsurface Water Management, Performance (ND)","limitation"
"1607","WMS-Nitrification (ND)","limitation"
"1608","AGR-Agronomic Concerns (ND)","limitation"
"1609","AGR-Natural Fertility (ND)","limitation"
"1610","AGR-Pesticide and Nutrient Leaching (ND) OLD","limitation"
"1611","AGR-Pesticide and Nutrient Runoff (ND) OLD","limitation"
"1612","AGR-Tilth and/or Compaction (ND)","limitation"
"1613","AGR-Surface Crusting (ND)","limitation"
"1614","AGR-Surface Salinity (ND)","limitation"
"1615","AGR-Available Water Capacity (ND)","limitation"
"1616","AGR-Rooting Depth (ND)","limitation"
"1617","AGR-Subsurface Salinity (ND)","limitation"
"1618","WMS-Subsurface Water Management, Outflow Quality (ND)","limitation"
"1619","Commodity Crop Productivity Index (Corn) (TN)","suitability"
"1620","Commodity Crop Productivity Index (Soybeans) (TN)","suitability"
"1621","ISDH Septic Tank Interpretation (IN)","limitation"
"1622","AGR-Sodicity (ND)","limitation"
"1623","AGR-Wind Erosion (ND)","limitation"
"1624","AGR-Water Erosion (ND)","limitation"
"1625","AGR-Growing Season Wetness (ND)","limitation"
"1626","AGR-Fragments on the Surface (ND)","limitation"
"1627","AGR-Growing Season Length (ND)","limitation"
"1628","AGR-Slope (ND)","limitation"
"1629","AGR-Growing Season Wetness for Drained Soils (ND)","limitation"
"1630","AGR-Agronomic Concerns, drained (ND)","limitation"
"1631","AGR-Physical Limitations (ND)","limitation"
"1632","AGR-Physical Limitations, drained (ND)","limitation"
"1633","AGR-Plant Establishment (ND)","limitation"
"1634","AGR-Plant Growth (ND)","limitation"
"1635","AGR-Soil Erosion (ND)","limitation"
"1636","AGR-Pesticide and Nutrient Management (ND) OLD","limitation"
"1637","USFS-Rooting Depth (SD)","limitation"
"1638","GET - Dwellings W/O Basements (O, gyp, PASS)","suitability"
"1639","GET - ENG - Dwellings With Basements (O, gyp, PASS)","limitation"
"1640","Septic Tank Absorption Fields(NC local)","limitation"
"1641","NCCPI Kansas  corn soybeans (KS)","limitation"
"1642","NCCPI Kansas cotton submodel (KS)","limitation"
"1643","NCCPI - NCCPI Small Grains Submodel (II)","suitability"
"1644","NCCPI - NCCPI Cotton Submodel (II)","suitability"
"1645","WMS - Subsurface Water Management, System Performance","limitation"
"1646","WMS - Subsurface Water Management, System Installation","limitation"
"1647","WMS - Subsurface Water Management, Outflow Quality","limitation"
"1648","WMS - Surface Water Management, System","limitation"
"1649","FOR - Damage by Fire (OH)","limitation"
"1650","MIL - Trafficability Vehicle Type 5 1-pass wet season","suitability"
"1651","MIL - Trafficability Vehicle Type 5 50-passes wet season","suitability"
"1652","MIL - Trafficability Vehicle Type 5 dry season","suitability"
"1653","MIL - Trafficability Vehicle Type 6 1-pass wet season","suitability"
"1654","MIL - Trafficability Vehicle Type 6 50-passes wet season","suitability"
"1655","MIL - Trafficability Vehicle Type 6 dry season","suitability"
"1656","MIL - Trafficability Vehicle Type 7 1-pass wet season","suitability"
"1657","MIL - Trafficability Vehicle Type 7 50-passes wet season","suitability"
"1658","MIL - Trafficability Vehicle Type 7 dry season","suitability"
"1659","TDAC_ENG - Dwellings With Basements","limitation"
"1660","Copy of GRL-ESD (MT) Statewide Key (NE-Test)","class"
"1661","LCC-6-backup","limitation"
"1662","LCCnirr_backup_2013","class"
"1663","LCC-irr","class"
"1664","LCC-6-irr","limitation"
"1665","LCC-6","limitation"
"1666","FOR - Reforestation Limitation, BS test","limitation"
"1667","FOR - Light Limitation, BS test","limitation"
"1668","FOR - Moisture Limitation, BS test","limitation"
"1669","GRL-ESD (NE) MLRA 75, 102C, 106 KEY (NE-Test)","class"
"1670","AGR - Nitrate Leaching Potential, Nonirrigated (SD)","limitation"
"1671","Fence - Fencing, Post Depth =<24 inches","limitation"
"1672","Fence - Fencing, Post Depth =<36 inches","limitation"
"1673","CPI - Small Grains, NIRR - Palouse Prairies (WA)","suitability"
"1674","CPI - Wild Hay, NIRR - Palouse, Northern Rocky Mtns. (WA)","suitability"
"1675","CPI - Grass Hay, NIRR - Klamath Valleys and Basins (OR)","suitability"
"1676","CPI - Alfalfa Hay, IRR - Klamath Valley and Basins (OR)","suitability"
"1677","AGR - Selenium Leaching Potential (CO) version 1","limitation"
"1678","Copy of LCC-6-irr","limitation"
"1679","LCCnirr-backup","class"
"1680","LCC-irr-backup","class"
"1681","AGR - Vineyard Suitability","suitability"
"1682","Soil Health - Kw","limitation"
"1683","Soil Health - Missouri","limitation"
"1684","Soil Health - Missouri V1","limitation"
"1685","AGR - Vineyard Vigor Potential","limitation"
"1686","HORT - Vitis Vinifera and Similar Suitability, Mark I","suitability"
"1687","Vinifera Wine Grape Site Desirability (Long)","suitability"
"1688","Vinifera Wine Grape Site Desirability (Long to Medium)","suitability"
"1689","Vinifera Wine Grape Site Desirability (Short to Medium)","suitability"
"1690","Vinifera Wine Grape Site Desirability (Short)","suitability"
"1691","Hybrid Wine Grape Varieties Site Desirability (Long)","suitability"
"1692","Hybrid Wine Grape Varieties Site Desirability (Medium)","suitability"
"1693","Hybrid Wine Grape Varieties Site Desirability (Short)","suitability"
"1694","American Wine Grape Varieties Site Desirability (Very Long)","suitability"
"1695","American Wine Grape Varieties Site Desirability (Long)","suitability"
"1696","American Wine Grape Varieties Site Desirability (Medium)","suitability"
"1697","American Wine Grape Varieties Site Desirability (Short)","suitability"
"1698","Muscadine Wine Grape Site Desirability (Very Long)","suitability"
"1699","Water Transmission Through Profile","limitation"
"1700","Permafrost Sensitivity (AK) draft 1","limitation"
"1701","Water table depth - avocado root rot","limitation"
"1702","Alaska Exempt Wetland Potential, version 1 (AK)","suitability"
"1703","AGR - Avocado Root Rot Hazard (CA)","limitation"
"1704","AGR - Nitrate Leaching Potential, Nonirrigated (MT)","limitation"
"1705","MT - Conservation Tree/Shrub Groups (MT)","class"
"1706","Copy of MT AGR - Nitrate Leachingl, Nonirrigated (WA)","limitation"
"1707","ENG - Vegetated Treatment Areas (NY)","limitation"
"1708","Test**-Pond Reservoir Area","limitation"
"1709","WMS - Embankments, Dikes, and Levees (O, gyp)(experimental)","limitation"
"1710","NM- ENG - Sanitary Landfill (Trench)","limitation"
"1711","AGR - Pesticide Loss Potential-Leaching (NE)","limitation"
"1712","AGR - Pesticide Loss Potential-Soil Surface Runoff (NE)","limitation"
"1713","Short Leaf Pine on Savanna","limitation"
"1714","Copy of AGR - California Revised Storie Index (CA)","class"
"1715","FOR - Harvest Equipment Operability(MO3)","limitation"
"1716","Soil Mass Movement Risk","limitation"
"1717","Soil Habitat for Saprophyte Stage of Coccidioides","suitability"
"1718","NCCPI - NCCPI Soybeans Submodel (I)","suitability"
"1719","Shortleaf Pine - MLRA 134","limitation"
"1720","GRL - Western Juniper Encroachment Potential v1 (OR)","limitation"
"1721","Permafrost Sensitivity (AK) draft 2","limitation"
"1722","GRL - Western Juniper Encroachment Potential v2A (OR)","limitation"
"1723","Alaska Exempt Wetland Potential, version 2 (AK)","suitability"
"1724","Alaska Exempt Wetland Potential (AK)","suitability"
"1725","GRL - Western Juniper Encroachment Potential v2B (OR)","limitation"
"1726","GRL - Western Juniper Encroachment Pot v2A (OR) no hedge","limitation"
"1727","GRL - Western Juniper Encroachment Potential (OR)","limitation"
"1728","Permafrost Sensitivity (AK)","limitation"
"1729","GRL-ESD (MT) Statewide Key (13.0)","class"
"1730","Soil Quality Groups Key","class"
"1731","Copy of LCC-6","limitation"
"1732","LCCnirr","class"
"1733","Copy of LCC-irr","class"
"1734","FOR - Conservation Tree/Shrub Groups (MT)","class"
"1735","FOTG - NLI Interp Calculation - (IN)","class"
"1736","FOTG - Indiana Corn Yield Calculation (IN)","class"
"1737","FOTG - Indiana Slippage Potential (IN)","class"
"1738","FOTG - NLI report Calculation - (IN)","class"
"1739","Copy of ENG - Construction Materials; Gravel Source (IN)","suitability"
"1740","MO03 Soil Slippage Limitation, Revised","limitation"
"1741","MO03 Soil Slippage Limitation, Slope","limitation"
"1742","MO03 Soil Slippage Limitation, Slippage Copy","limitation"
"1743","IOWA CSR_6-spr","class"
"1744","hort grape","limitation"
"1745","IOWA CSR dmu-mapunit only","class"
"1746","ENG - Poultry Disposal by Composting (Catastrophic) (WV)","limitation"
"1747","AGR - Pasture hayland (MO)","class"
"1748","Copy of IOWA CSR","class"
"1749","ENG - Septic Tank Absorption FieldsPRF","class"
"1750","Copy of IOWA CSRvs2","class"
"1751","IOWA CSRvs2_sdjr","class"
"1752","IOWA CSR dmu-mapunit only_dbo","class"
"1753","IOWA CSR dmu-mapunit only-do","class"
"1754","AGR - Map Unit Cropland Productivity (MN)","suitability"
"1755","Copy of GRL - Pasture and Hayland SG (OH)","class"
"1756","FOR - Conservation Tree and Shrub Groups (TX)","class"
"1757","FSG MLRA86A-Forage Production Potential MLRA 86A (TX)B","suitability"
"1758","FOR - Biomass Harvest (CT)","limitation"
"1759","ENG - Construction Materials; Gravel Source (MI)","suitability"
"1760","USFS Region 4, Native Surface Road Construction","suitability"
"1761","FOR - Black Walnut Suitability Index (KS)","suitability"
"1762","AGR - California Revised Storie Index (CA) 4-2014","class"
"1763","CPI - Grass-Legume Hay, NIRR - Puget Sound Valleys (WA) v1","suitability"
"1764","AGR - Selenium Leaching Potential (CO) version 2","limitation"
"1765","AGR - Selenium Leaching Potential (CO)","limitation"
"1766","AGR - Selenium Leaching Potential (CO) version 4","limitation"
"1767","CPI - Grass-Legume Hay, NIRR - Puget Sound Valleys (WA) v2","suitability"
"1768","GRL - Infilled Utah Juniper Site Restoration Potential","suitability"
"1769","GRL - Utah Juniper Encroachment Potential v1","limitation"
"1770","Appalachian Landscape Primary Productivity","suitability"
"1771","NCCPI - NCCPI Corn and Soybeans (2 C Warming)","suitability"
"1772","Irish Potato Productivity, NIRR, WV","suitability"
"1773","NCCPI - NCCPI Corn and Soybeans (4 C Warming)","suitability"
"1774","NCCPI - NCCPI Corn and Soybeans (2 C Cooling)","suitability"
"1775","NCCPI - NCCPI Cotton Submodel (2 C Warming)","suitability"
"1776","SVI - Leaching","limitation"
"1777","SVI - Runoff","limitation"
"1778","WMS - Irrigation, Micro (subsurface drip)","limitation"
"1779","SAS - Mushroom Anchors (RI)","limitation"
"1780","FOR - Shortleaf pine littleleaf disease susceptibility","limitation"
"1781","FOR - Shortleaf pine littleleaf disease susceptibility copy","limitation"
"1782","TEST-Nitrogen Loss Potential (ND)","limitation"
"1783","NCCPI - NCCPI Cotton Submodel (4 C Warming)","suitability"
"1784","NCCPI - NCCPI Cotton Submodel (2 C Cooling)","suitability"
"1785","NCCPI - NCCPI Small Grains Submodel (2 C Warming)","suitability"
"1786","NCCPI - NCCPI Small Grains Submodel (4 C Warming)","suitability"
"1787","NCCPI - NCCPI Small Grains Submodel (2 C Cooling)","suitability"
"1788","NCCPI - National Commodity Crop Productivity (2 C Warming)","suitability"
"1789","NCCPI - National Commodity Crop Productivity (4 C Warming)","suitability"
"1790","NCCPI - National Commodity Crop Productivity (2 C Cooling)","suitability"
"1791","FOR - Potential Windthrow Hazard (VA)","limitation"
"1792","Copy of Grp1 USFS native roads","suitability"
"1793","Copy of HORT - Vineyard Suitability","suitability"
"1794","DnD - Soil and Site Suitability for Upland Deciduous Forest","suitability"
"1795","Hops_interps training_20140917","limitation"
"1796","Hops_interps training_20140918","limitation"
"1797","WO_test_primary_rule","limitation"
"1798","Copy of Hops_interps training_20140918b","limitation"
"1799","Hops_interps training_20140918b","limitation"
"1800","Hops_interps training_20140918 version 2","limitation"
"1801","FOR - White Oak Suitability (MO)","suitability"
"1802","GT_Gopher Tortoise Habitat Suitability (FL)","suitability"
"1803","Test_GT_Gopher Tortoise Habitat Suitability (FL)","suitability"
"1804","Temp_GT_Gopher Tortoise Habitat Suitability (FL)","suitability"
"1805","GT_Gopher Tortoise Habitat Suitability (FL)_by MLRA","suitability"
"1806","Hops_interps training_20140924_Roger","limitation"
"1807","Soil Habitat for Saprophyte Stage of Coccidioides, 2 C Warm","suitability"
"1808","GACopy of Temp_GT_Gopher Tortoise Habitat Suitability (FL)","suitability"
"1809","GACopy of Test_GT_Gopher Tortoise Habitat Suitability (FL)","suitability"
"1810","GACopy of GT_Gopher Tortoise Habitat Suitability (FL)","suitability"
"1811","GA Habitat Prism Data Suitability, Revision 4","suitability"
"1812","GRL-MLRA52-ESD-key","class"
"1813","GRL-MLRA53A-ESD-Key","class"
"1814","Continental Primary Productivity","suitability"
"1815","Landscape Primary Productivity","suitability"
"1816","MS - Metal Loading Rates and Land Application of Sludge","limitation"
"1817","NCCPI - NCCPI Corn No Climate Reference","suitability"
"1818","Burkholderia Pseudomallei Soil Medium","limitation"
"1819","RASTER ENG - Lawn, Landscape, Golf Fairway","limitation"
"1820","RASTER FOR - Constr Limitations for Haul Rds/Log Lndings","limitation"
"1821","Burkholderia Pseudomallei Prism Climate","limitation"
"1822","Ground-based Solar Arrays, Soil-penetrating Anchor Systems","limitation"
"1823","Clandestine Grave Excavation Difficulty","suitability"
"1824","RASTER - Road Suitability (Natural Surface)","limitation"
"1825","ENG - Catastrophic Mortality, Poultry Disposal, Compost (WV)","limitation"
"1826","Ground-based Solar Arrays, Ballast Anchor Systems","limitation"
"1827","NCCPI - NCCPI Corn and Soybeans Submodel Truncated","suitability"
"1828","NCCPI - NCCPI Small Grains No Climate Reference","suitability"
"1829","Land Application of Municipal Sewage Sludge (PA)","limitation"
"1830","ENG-Catastrophic Mortality, Poultry Disposal, Compost (PA)","limitation"
"1831","ENG - Soil Potential Ratings of SSDS (CT)","class"
"1832","Biomass Harvesting Sustainability with SUM test","limitation"
"1833","Biomass Harvesting Sustainability SUM drainage","limitation"
"1834","SAS - Land Utilization of Dredged Material (RI)","limitation"
"1835","SAS - Hard clams (Mercenaria mercenaria L)","limitation"
"1836","SAS - Oysters (Crassostrea virginica) substrate","limitation"
"1837","Biomass Harvesting Sustainability (CT)","limitation"
"1838","FOR - Soil Sustainability Forest Biomass Harvesting (CT)","limitation"
"1839","LCC - NIRR Land Capability Class","class"
"1840","SOH - Suitability for High Biomass Cover Crop for Grazing","suitability"
"1841","DHS - Catastrophic Event, Large Animal Mortality, Burial","limitation"
"1842","DHS - Catastrophic Event, Large Animal Mortality, Incinerate","limitation"
"1843","Commodity Crop Productivity Index (Corn) (WI)","suitability"
"1844","AGR - Hops Suitability (CA)","suitability"
"1845","AGR - Wine Grape Site Suitability (CA)","suitability"
"1846","Fragile Soil Index","limitation"
"1847","Wind Turbine, Tensionless Pier Foundation","limitation"
"1848","Wind Turbines, Soil Anchor Flight Auger (deep)","limitation"
"1849","Wind Turbines, Soil Anchor Auger Cast Pile (deep)","limitation"
"1850","Wind Turbines, Soil Anchor Helical (deep)","limitation"
"1851","Wind Turbine, Gravity Foundation","limitation"
"1852","Wind Turbine, Rock Anchor Foundation","limitation"
"1853","SOH - Soil Surface Sealing","limitation"
"1854","ENG - Industrial Wastewater & By-Product Solids (WI)","limitation"
"1855","TEST_CTSG","limitation"
"1856","DHS -Catastrophic Mortality, Large Animal Disposal, Pit (TX)","limitation"
"1857","WLF-Soil Suitability - Karner Blue Butterfly (WI)","suitability"
"1858","NCCPI - NCCPI Cotton No Climate Reference","suitability"
"1859","Landscape Primary Productivity, No Climate","suitability"
"1860","Gopher Tortoise Habitat Suitability, Revision","suitability"
"1861","Gopher Tortoise Habitat Prism Data Suitability, Revision","suitability"
"1862","NCCPI - National Commodity Crop Productivity Index (Ver 3.0)","suitability"
"1863","NCCPI - Irrigated Soybeans Submodel","suitability"
"1864","NCCPI - NCCPI Soybeans Submodel No Climate Reference","suitability"
"1865","Gopher Tortoise Habitat Prism Data Suitability, Revision 3","suitability"
"1866","Gopher Tortoise Habitat Prism Data Suitability, Revision 4","suitability"
"1867","CLR-cropland limitation for corn and soybeans (IN)","limitation"
"1868","FOTG - NLI Calculation Component - (IN)","class"
"1869","FOTG - Indiana Soy Bean Yield Calculation (IN)","class"
"1870","FOTG - Indiana Wheat Yield Calculation (IN)","class"
"1871","GRL - Utah Juniper Encroachment Potential v2","limitation"
"1872","CPI - Small Grains, NIRR - Willamette Valley (OR)","suitability"
"1873","Hybrid Wine Grape Varieties Site Desirability (MT)","suitability"
"1874","CPI - Small Grains, NIRR - Willamette Valley (OR) v2A wti","suitability"
"1875","CPI - Small Grains, NIRR - Willamette Valley (OR) v2B drainc","suitability"
"1876","GRL - Utah Juniper Encroachment Potential v3","limitation"
"1877","USFS Region 4, Native Surface Road Construction v2","suitability"
"1878","CPI - Grass-Legume Hay, NIRR - MLRA 1 (WA) v1","suitability"
"1879","CPI - Grass-Legume Hay, NIRR - MLRA 4A (WA) v1","suitability"
"1880","CPI - Grass-Legume Hay, NIRR - MLRA 4A (WA) v2","suitability"
"1881","CPI - Small Grains, NIRR - Willamette Valley (OR) v3","suitability"
